,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,Term in Months,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,acc_now_delinq,delinq_amnt,pub_rec_bankruptcies
50,1069248,1304123,15000,15000,15000.0,36,9.91%,483.38,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation Loan,616xx,IL,9.12,0,Apr-92,2,0,0,9,0,11845,63.70%,28,0.0,0.0,16177.77,16177.77,13556.45,2374.34,24.17,222.81,36.3708,Oct-14,483.38,,Mar-15,0,0,0.0
53,1069243,1304116,12000,12000,12000.0,36,15.96%,421.65,C,C5,Chemat Technology Inc,4 years,RENT,50000.0,Not Verified,Dec-11,Charged Off,car,Car Loan,914xx,CA,20.88,0,Oct-06,2,0,0,11,0,15793,90.80%,11,0.0,0.0,3521.95,3521.95,1903.66,1039.35,0.0,578.94,5.49,Aug-12,421.65,,Dec-12,0,0,0.0
55,1069410,1303652,21000,21000,20975.0,60,19.91%,555.33,E,E4,Costco,7 years,RENT,50000.0,Verified,Dec-11,Charged Off,debt_consolidation, Bill pay of,980xx,WA,21.58,0,Sep-98,1,0,0,7,0,19448,97.60%,14,0.0,0.0,18319.14,18297.35,8990.81,9328.33,0.0,0.0,0.0,Oct-14,555.33,,May-16,0,0,0.0
64,1069126,1303778,10000,10000,9975.0,60,10.65%,215.69,B,B2,CEC ENTERTAINMENT INC,10+ years,RENT,45996.0,Verified,Dec-11,Charged Off,debt_consolidation,Consolidation,440xx,OH,21.73,0,May-97,1,0,0,7,0,11170,30.10%,15,0.0,0.0,8772.91,8751.08,5495.38,2429.23,1.0,847.3,152.514,Apr-15,1.0,,Jun-15,0,0,0.0
66,1069093,1303740,12500,8925,8925.0,60,17.27%,223.11,D,D3,grandma kitchen,5 years,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,allen,559xx,MN,13.16,0,Apr-95,0,0,113,7,1,9844,70.80%,28,0.0,0.0,5577.75,5577.75,2812.82,2742.43,0.0,22.5,0.0,Feb-14,223.11,,May-16,0,0,1.0
68,1068906,1303528,8200,8200,8200.0,60,21.28%,223.14,F,F2,autozone,4 years,RENT,75000.0,Source Verified,Dec-11,Charged Off,small_business,Small_Business Loan,912xx,CA,12.48,0,Jan-00,3,0,0,6,0,9012,73.90%,11,0.0,0.0,4173.57,4173.57,1525.83,2265.85,0.0,381.89,3.6,Jun-13,223.14,,Oct-13,0,0,0.0
71,1060981,1292558,6400,6400,6400.0,36,16.77%,227.45,D,D2,"Riverside County, California",5 years,RENT,75000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Help,923xx,CA,20.22,0,Dec-94,0,48,0,9,0,7159,67.50%,27,0.0,0.0,4776.45,4776.45,3334.25,1431.91,0.0,10.29,0.0,Oct-13,227.45,,May-16,0,0,0.0
97,1068542,1303143,17500,17500,17500.0,60,17.27%,437.47,D,D3,Travelers Insurance,7 years,MORTGAGE,45000.0,Not Verified,Dec-11,Charged Off,credit_card,Debit Free,992xx,WA,21.31,0,Sep-02,2,0,0,13,0,20129,86.10%,26,0.0,0.0,10037.1,10037.1,3077.85,3473.25,0.0,3486.0,625.617,Apr-13,437.47,,Dec-15,0,0,0.0
100,1068509,1302907,6200,6200,6200.0,36,9.91%,199.8,B,B1,Sunrise Senior Living,2 years,RENT,25000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Wells/Chase ReFi,902xx,CA,20.64,0,May-98,2,0,0,7,0,6533,47.70%,12,0.0,0.0,2452.22,2452.22,1700.79,493.16,0.0,258.27,2.54,Dec-12,199.8,,May-13,0,0,0.0
105,1068309,1302924,18825,18825,18800.0,60,16.77%,465.53,D,D2,Texas Health & Human Services Commission,10+ years,RENT,38000.0,Verified,Dec-11,Charged Off,debt_consolidation,Coledon's Club Loan,787xx,TX,23.18,0,Dec-04,0,0,0,6,0,11004,79.70%,7,0.0,0.0,18749.25,18724.53,8087.75,6786.71,0.0,3874.79,670.8193,Sep-14,465.53,,May-16,0,0,0.0
114,1068012,1302365,10000,10000,10000.0,36,18.25%,362.78,D,D5,Gucci Group/ Yves Saint Laurent,1 year,RENT,75000.0,Source Verified,Dec-11,Charged Off,credit_card,Credit Card,900xx,CA,24.14,0,Mar-97,0,77,0,9,0,22828,96.30%,26,0.0,0.0,11730.6,11730.6,8320.22,3145.08,36.24699818,229.06,2.2906,Jan-15,200.0,,Jan-15,0,0,0.0
120,1068202,1302588,25000,25000,23088.16106,60,13.49%,575.12,C,C1,Midnight,10+ years,MORTGAGE,67000.0,Verified,Dec-11,Charged Off,credit_card,"Pay off credit card, refinance house",996xx,AK,14.15,0,Aug-99,0,28,0,6,0,15319,91.20%,21,0.0,0.0,23880.65,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,Mar-15,1179.0,,Jul-15,0,0,0.0
121,1068006,1302360,19750,19750,19725.0,36,10.65%,643.33,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 years,RENT,45000.0,Verified,Dec-11,Charged Off,debt_consolidation,CONSOLIDATION,974xx,OR,22.8,0,Sep-00,0,56,0,12,0,16576,54.20%,28,0.0,0.0,11930.65,11915.62,8590.58,2698.78,0.0,641.29,6.412899997,Sep-13,787.01,,Nov-13,0,0,0.0
124,1068179,1302564,28000,11800,11775.0,60,19.91%,312.04,E,E4,American Airlines,10+ years,RENT,52000.0,Verified,Dec-11,Charged Off,debt_consolidation,Debt Consalidation,752xx,TX,20.7,0,Dec-88,0,0,0,10,0,29178,87.60%,16,0.0,0.0,12173.07,12147.29,4281.54,4759.37,0.0,3132.16,563.7888,Jun-14,312.04,,Sep-14,0,0,0.0
131,1066215,1300572,24000,24000,24000.0,36,15.96%,843.3,C,C5,lafidale inc,8 years,MORTGAGE,90000.0,Source Verified,Dec-11,Charged Off,home_improvement,home improve,927xx,CA,9.17,0,Jun-95,1,0,0,9,0,30952,71.20%,23,0.0,0.0,5895.68,5895.68,3813.57,2082.11,0.0,0.0,0.0,Aug-12,843.3,,May-16,0,0,0.0
137,1068111,1302472,11100,11100,11100.0,36,6.62%,340.82,A,A2,Aetna ,10+ years,RENT,41000.0,Verified,Dec-11,Charged Off,credit_card,Help me out,194xx,PA,29.85,0,Jan-91,1,0,0,8,0,17518,62.30%,18,0.0,0.0,8120.14,8120.14,6516.79,976.85,0.0,626.5,6.265000001,Nov-13,340.82,,Mar-14,0,0,0.0
145,1068091,1302450,12000,12000,12000.0,36,9.91%,386.7,B,B1,Luxottica Retail,2 years,RENT,42000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Consolidation,553xx,MN,7.83,0,Jun-06,2,0,0,8,0,9749,65.40%,16,0.0,0.0,11234.49,11234.49,9011.72,1807.88,0.0,414.89,4.148900002,May-14,386.7,,Oct-15,0,0,0.0
151,1067794,1302151,10000,10000,10000.0,36,11.71%,330.76,B,B3,karl strauss brewing company,8 years,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,consolidation loan,921xx,CA,22.08,0,Jul-01,0,0,0,8,0,5626,29.30%,26,0.0,0.0,6002.23,6002.23,4293.91,1388.86,0.0,319.46,57.5028,Jul-13,62.38,,Nov-13,0,0,0.0
153,1068018,1302371,13475,13475,13450.0,60,13.49%,309.99,C,C1,vons,10+ years,RENT,25000.0,Verified,Dec-11,Charged Off,credit_card,Bills,917xx,CA,21.89,0,Dec-01,1,0,0,7,0,9943,65.80%,14,0.0,0.0,6198.89,6187.44,3516.74,2682.15,0.0,0.0,0.0,Oct-13,28.0,,May-16,0,0,0.0
155,1067818,1247741,5600,5600,5600.0,36,14.65%,193.17,C,C3,O'Reilly Auto Parts,1 year,MORTGAGE,85000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation,850xx,AZ,12.24,1,May-99,3,11,0,8,0,6812,90.80%,31,0.0,0.0,1350.86,1350.86,905.39,445.47,0.0,0.0,0.0,Aug-12,193.17,,May-16,0,0,0.0
168,1067644,1302032,2500,2500,2500.0,36,7.51%,77.78,A,A3,,,OWN,12000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,GET FREE OF DEBT,961xx,CA,16.3,0,Aug-94,2,0,0,13,0,4853,42.20%,20,0.0,0.0,1838.88,1838.88,1575.06,253.74,0.0,10.08,0.0,Dec-13,77.78,,May-16,0,0,0.0
175,1067364,1301744,10000,10000,10000.0,36,13.49%,339.31,C,C1,Edgestone Real Estate,5 years,RENT,65000.0,Not Verified,Dec-11,Charged Off,small_business,Small Business Loan,927xx,CA,6.92,1,Dec-99,2,19,0,12,0,14292,69.50%,17,0.0,0.0,9270.84,9270.84,6799.56,2011.75,0.0,459.53,4.4878,Mar-14,339.31,,Jul-14,0,0,0.0
176,1067152,1301933,7750,7750,7750.0,36,17.27%,277.36,D,D3,US Bank,< 1 year,RENT,24000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Payoff Loan,601xx,IL,16.1,0,Sep-04,1,41,0,4,0,2348,67.10%,7,0.0,0.0,6934.0,6934.0,4935.39,1986.7,0.0,11.91,0.0,Jan-14,277.36,,May-16,0,0,0.0
177,1062471,1294536,20000,20000,20000.0,60,20.89%,539.84,F,F1,Independent Imaging,6 years,RENT,70000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Loan to pay off Credit cards,334xx,FL,16.63,0,Nov-02,1,0,0,10,0,10470,79.90%,24,0.0,0.0,5425.96,5425.96,1318.27,3034.08,0.0,1073.61,10.48,Oct-12,591.09,,Feb-13,0,0,0.0
179,1067126,1301506,21000,21000,21000.0,60,11.71%,464.07,B,B3,Calix,3 years,RENT,60000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Consolidate me 2011,931xx,CA,6.62,0,Dec-90,0,0,0,7,0,10543,79.90%,11,0.0,0.0,3708.24,3708.24,2142.87,1565.37,0.0,0.0,0.0,Aug-12,464.07,,Aug-12,0,0,0.0
182,1067324,1301699,15000,15000,15000.0,36,16.77%,533.08,D,D2,Schneider National Inc,10+ years,RENT,42000.0,Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation Loan,543xx,WI,19.63,0,Aug-01,2,0,0,10,0,8238,74.90%,38,0.0,0.0,13373.77,13373.77,8365.66,3923.4,0.0,1084.71,40.78310001,Apr-14,188.69,,Apr-14,0,0,0.0
183,1067102,1301481,15000,15000,15000.0,36,17.27%,536.81,D,D3,Santa Clara County Public Defender,8 years,RENT,75000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,debt consolidation,951xx,CA,16.03,0,Mar-91,0,48,0,10,0,13505,75.90%,17,0.0,0.0,10198.4,10198.4,6944.85,3238.39,0.0,15.16,5.64,Aug-13,536.81,,May-16,0,0,0.0
188,1067265,1301632,16000,16000,16000.0,36,12.69%,536.72,B,B5,Marsh,1 year,RENT,58500.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Consolidation,606xx,IL,20.64,0,Sep-94,0,0,0,8,0,26224,89.30%,10,0.0,0.0,12295.72,12295.72,9479.47,2778.95,26.83551087,10.47,1.779900003,May-14,528.58,,May-16,0,0,0.0
195,1067038,1301405,12000,12000,12000.0,36,14.27%,411.71,C,C2,Corning Inc.,8 years,MORTGAGE,70000.0,Not Verified,Dec-11,Charged Off,other,Debt Consolidation Loan,148xx,NY,8.4,0,Aug-05,1,0,0,7,0,11546,86.20%,12,0.0,0.0,4241.16,4241.16,2534.26,1163.48,0.0,543.42,5.32,Oct-12,411.71,,Feb-13,0,0,0.0
203,1031265,1260676,13650,13650,13650.0,36,12.42%,456.12,B,B4,ITT Aerospace Controls,10+ years,MORTGAGE,86000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation,913xx,CA,12.29,0,May-94,1,0,0,12,0,16140,73.40%,34,0.0,0.0,8203.29,8203.29,5810.73,1931.92,0.0,460.64,4.64,May-13,456.12,,Oct-13,0,0,0.0
204,1066835,1301027,10500,10500,10500.0,36,16.29%,370.66,D,D1,Butte Community College,3 years,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Personal,959xx,CA,15.0,0,Nov-07,1,0,0,7,0,5379,55.50%,8,0.0,0.0,2222.16,2222.16,1414.89,807.27,0.0,0.0,0.0,Jul-12,370.66,,May-16,0,0,0.0
212,1063280,1295793,15075,15075,15075.0,36,14.27%,517.21,C,C2,JPMorgan Chase Bank,10+ years,RENT,35000.0,Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation Loan,770xx,TX,20.16,0,Aug-00,1,0,0,7,0,10570,89.60%,14,0.0,0.0,15502.77,15502.77,11609.04,3374.45,0.0,519.28,5.036800002,Jun-14,517.21,,Oct-14,0,0,0.0
220,1066798,1300982,9500,9500,9500.0,36,12.69%,318.68,B,B5,San Diego Unified School District,< 1 year,MORTGAGE,52500.0,Source Verified,Dec-11,Charged Off,moving,Moved to California,921xx,CA,23.54,0,Jul-99,2,0,0,14,0,23729,75.30%,42,0.0,0.0,7002.16,7002.16,5366.65,1635.51,0.0,0.0,0.0,Nov-13,318.68,,May-16,0,0,0.0
224,1066766,1300949,7200,7200,7200.0,36,7.90%,225.29,A,A4,"St. Mary's Health Care System, Inc.",3 years,RENT,68000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Bank of America Pay-Off Loan,306xx,GA,7.98,0,Jan-02,0,0,0,5,0,8783,82.90%,14,0.0,0.0,7730.87,7730.87,6744.17,907.62,14.97905838,64.1,11.538,Nov-14,225.29,,Apr-15,0,0,0.0
225,1066613,1300801,26000,26000,25975.0,60,16.77%,642.96,D,D2,PepsiCo,10+ years,MORTGAGE,53000.0,Verified,Dec-11,Charged Off,home_improvement,Home Improvement,271xx,NC,11.77,0,Sep-98,1,0,0,5,0,7560,72.70%,14,0.0,0.0,9622.45,9613.3,3946.3,4391.9,0.0,1284.25,12.27,Feb-13,642.96,,Jun-13,0,0,0.0
226,1065648,1299754,7000,7000,6975.0,60,11.71%,154.69,B,B3,WA State vDSHS,6 years,MORTGAGE,69600.0,Verified,Dec-11,Charged Off,credit_card,Debt consolidation,981xx,WA,26.22,0,Oct-79,0,0,0,10,0,45449,90.90%,23,0.0,0.0,6126.24,6104.36,3452.36,1790.2,0.0,883.68,156.0204,Oct-14,154.69,,Jan-15,0,0,0.0
231,1066503,1300476,10000,10000,10000.0,36,12.69%,335.45,B,B5,nor cal beverage,2 years,RENT,70000.0,Not Verified,Dec-11,Charged Off,credit_card,credit cards,956xx,CA,2.69,0,Oct-00,0,0,0,5,0,6035,70.20%,6,0.0,0.0,6351.59,6351.59,4513.35,1505.13,0.0,333.11,3.1464,Jul-13,335.45,,Dec-13,0,0,0.0
239,1066344,1300716,15600,15600,15600.0,60,12.69%,352.48,B,B5,corbett industries,10+ years,RENT,50000.0,Source Verified,Dec-11,Charged Off,vacation,vacation loan,109xx,NY,5.78,0,Jun-03,1,0,0,8,0,8079,35.70%,11,0.0,0.0,16894.08,16894.08,11631.87,5262.21,0.0,0.0,0.0,Jan-16,352.48,,May-16,0,0,0.0
251,1048526,1279867,4000,4000,4000.0,36,12.69%,134.18,B,B5,XOXO Salon,2 years,RENT,25000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Car loan,802xx,CO,6.86,0,Feb-05,3,0,0,5,0,8546,79.70%,13,0.0,0.0,2022.66,2022.66,1373.86,498.22,0.0,150.58,1.55,Mar-13,134.18,,Aug-14,0,0,0.0
255,1066232,1300594,10000,10000,10000.0,36,12.42%,334.16,B,B4,First National Bank of St. Louis,10+ years,RENT,39000.0,Source Verified,Dec-11,Charged Off,credit_card,credit card consolidation,630xx,MO,18.31,0,Aug-98,1,0,0,7,0,11691,90.60%,19,0.0,0.0,11604.88,11604.88,9635.96,1956.9,0.0,12.02,0.0,Apr-14,4378.02,,May-16,0,0,0.0
266,1066162,1300514,12000,12000,12000.0,36,8.90%,381.04,A,A5,"Time Escrow, Inc.",7 years,RENT,80000.0,Not Verified,Dec-11,Charged Off,other,credit card consolidating,900xx,CA,9.13,0,Oct-03,0,0,0,8,0,13088,83.50%,16,0.0,0.0,10411.4,10411.4,8330.52,1564.56,0.0,516.32,5.0436,Mar-14,381.04,,Jul-14,0,0,0.0
270,1063447,1296011,16000,16000,16000.0,60,13.49%,368.08,C,C1,,10+ years,RENT,35000.0,Verified,Dec-11,Charged Off,small_business,Small Business,274xx,NC,16.22,0,Jul-02,1,0,0,6,0,19184,58.50%,14,0.0,0.0,10343.32,10343.32,5147.59,3678.41,0.0,1517.32,15.1732,Jan-14,368.08,,May-14,0,0,0.0
273,1066112,1300264,11875,11875,11875.0,60,12.69%,268.32,B,B5,Guardsmark,< 1 year,RENT,25920.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation Loan,941xx,CA,23.75,0,Apr-01,0,0,0,8,0,13932,94.10%,28,0.0,0.0,1185.35,1185.35,285.76,248.58,0.0,651.01,117.1818,Mar-12,268.32,,Jul-12,0,0,0.0
278,1066071,1300216,14000,14000,14000.0,36,7.90%,438.07,A,A4,interim health care,10+ years,OWN,45600.0,Not Verified,Dec-11,Charged Off,debt_consolidation,debt consolidation,265xx,WV,19.74,0,Jun-92,0,0,0,5,0,15846,63.90%,10,0.0,0.0,6130.32,6130.32,5053.24,1077.08,0.0,0.0,0.0,Mar-13,438.07,,May-16,0,0,0.0
299,1065026,1298879,8000,8000,8000.0,36,16.29%,282.41,D,D1,St. Rose San Martin,5 years,RENT,50000.0,Not Verified,Dec-11,Charged Off,credit_card,credit debt,891xx,NV,13.22,0,Nov-05,0,0,0,9,0,5106,72.90%,12,0.0,0.0,4533.54,4533.54,2798.78,1436.44,0.0,298.32,3.09,Apr-13,287.45,,Sep-13,0,0,0.0
300,1057001,1288555,30000,30000,28673.79652,60,12.42%,673.72,B,B4,,3 years,RENT,70000.0,Source Verified,Dec-11,Charged Off,small_business,Patent and manufacturing.,773xx,TX,0.94,0,Jul-06,0,0,0,7,0,1159,3.20%,14,0.0,0.0,17179.15,14854.83,8464.18,5679.62,33.68658497,3001.66,30.0166,Oct-13,673.72,,Feb-14,0,0,0.0
301,1065513,1299629,18000,18000,18000.0,60,16.77%,445.13,D,D2,Old Republic Home Protection,6 years,OWN,40000.0,Not Verified,Dec-11,Charged Off,home_improvement,Personal Loan,945xx,CA,18.42,0,Nov-00,3,0,0,7,0,11147,73.40%,20,0.0,0.0,11229.37,11229.37,4677.94,4651.94,0.0,1899.49,18.8164,Oct-13,445.13,,Feb-14,0,0,0.0
304,1061788,1293410,20000,20000,19975.0,60,20.30%,533.23,E,E5,federal,10+ years,OWN,59000.0,Verified,Dec-11,Charged Off,debt_consolidation,life changing,997xx,AK,20.91,0,Aug-00,2,0,0,16,0,32137,83.10%,32,0.0,0.0,16063.42,16043.48,6317.7,7790.84,0.0,1954.88,19.5488,Mar-14,281.46,,Jul-14,0,0,0.0
313,1065467,1299576,9000,9000,9000.0,60,19.91%,238.0,E,E4,Responsive Learning Technologies,3 years,RENT,60000.0,Verified,Dec-11,Charged Off,credit_card,Cards,950xx,CA,22.56,0,Dec-97,1,0,0,17,0,21321,91.10%,30,0.0,0.0,5227.64,5227.64,2327.73,2899.91,0.0,0.0,0.0,Oct-13,238.0,,May-16,0,0,0.0
314,1065649,1299755,25000,25000,24975.0,60,18.64%,643.58,E,E1,KINGS COUNTY DISTRICT ATTORNEY'S OFFICE,10+ years,RENT,61500.0,Verified,Dec-11,Charged Off,debt_consolidation,CLEAR UP,112xx,NY,12.6,1,Apr-00,0,22,0,11,0,24278,60.80%,25,0.0,0.0,25775.38,25749.68,13993.4,11732.12,32.18,17.68,3.1824,Apr-15,643.58,,May-16,0,0,0.0
317,1064102,1296692,20000,20000,19975.0,60,15.27%,478.64,C,C4,Level 3 Communications,10+ years,OWN,78216.0,Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation,956xx,CA,10.79,0,Jul-95,1,0,0,8,0,25161,80.30%,21,0.0,0.0,5797.78,5790.61,2367.51,2405.39,0.0,1024.88,9.89,Oct-12,478.64,,Mar-13,0,0,0.0
318,1062399,1294261,18000,18000,17975.0,60,17.27%,449.97,D,D3,NEXCOM,1 year,MORTGAGE,62000.0,Verified,Dec-11,Charged Off,debt_consolidation,outofdebt,234xx,VA,7.82,0,Aug-88,2,61,0,8,0,11273,86.70%,30,0.0,0.0,20808.83,20780.01,11594.61,8172.87,0.0,1041.35,187.443,Aug-15,449.97,,Mar-16,0,0,0.0
324,1065348,1299443,5000,5000,5000.0,36,12.42%,167.08,B,B4,The Newell Group,2 years,RENT,30000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Debt Consolidation - Dec 2011,296xx,SC,23.84,0,Jun-01,2,0,0,8,0,7980,89.70%,40,0.0,0.0,833.7,833.7,587.51,246.19,0.0,0.0,0.0,Jun-12,167.08,,May-16,0,0,0.0
328,1065304,1299388,12000,12000,12000.0,36,9.91%,386.7,B,B1,Shaws,10+ years,RENT,55000.0,Not Verified,Dec-11,Charged Off,debt_consolidation,Zero Balance Project,028xx,RI,13.0,0,Mar-98,0,0,0,10,0,11774,75.50%,17,0.0,0.0,5851.68,5851.68,4244.34,1162.46,0.0,444.88,4.55,Mar-13,386.7,,Jul-13,0,0,0.0
339,1065103,1299180,10000,10000,10000.0,36,11.71%,330.76,B,B3,chevron station,5 years,RENT,32000.0,Not Verified,Dec-11,Charged Off,credit_card,lovely,331xx,FL,21.83,0,Oct-01,0,0,0,11,0,7346,59.60%,23,0.0,0.0,1958.97,1958.97,1186.67,464.08,0.0,308.22,3.27,Jun-12,330.76,,Oct-12,0,0,0.0
340,1065254,1299335,24000,24000,24000.0,36,8.90%,762.08,A,A5,Tech Data Corp,10+ years,MORTGAGE,116400.0,Verified,Dec-11,Charged Off,car,Car loan and pay off my family,336xx,FL,3.94,0,Dec-92,4,0,0,14,0,3885,8.10%,31,0.0,0.0,8649.71,8649.71,6036.95,1580.45,0.0,1032.31,10.25,Oct-12,762.08,,Jun-15,0,0,0.0
344,1059620,1291228,12000,12000,12000.0,36,11.71%,396.92,B,B3,Firestone Complete Auto Care,10+ years,RENT,57200.0,Source Verified,Dec-11,Charged Off,debt_consolidation,consolidation,014xx,MA,16.36,0,May-00,0,0,0,11,0,22059,68.50%,17,0.0,0.0,3564.9,3564.9,2613.54,951.36,0.0,0.0,0.0,Oct-12,396.92,,Apr-16,0,0,0.0
348,1065196,1299063,10000,10000,10000.0,36,12.69%,335.45,B,B5,Grey Goose Restaurant,2 years,RENT,35000.0,Source Verified,Dec-11,Charged Off,debt_consolidation,Stress relief,405xx,KY,12.03,0,Apr-00,1,0,0,10,0,10472,84.60%,15,0.0,0.0,7690.46,7690.46,5358.77,1671.4,0.0,660.29,6.4601,Oct-13,335.45,,Feb-14,0,0,0.0
